iter	Passed	Remaining
0	9	913
1	16	819
2	27	882
3	34	837
4	43	834
5	49	778
6	55	738
7	60	697
8	65	666
9	70	637
10	75	612
11	80	592
12	86	576
13	91	564
14	97	553
15	103	542
16	108	530
17	114	519
18	121	516
19	126	506
20	132	496
21	137	488
22	143	478
23	148	470
24	154	463
25	160	457
26	166	450
27	172	443
28	178	436
29	184	430
30	190	424
31	196	416
32	202	410
33	207	402
34	212	394
35	217	386
36	223	379
37	228	372
38	233	365
39	238	357
40	243	350
41	248	343
42	254	337
43	260	331
44	266	325
45	272	319
46	278	313
47	284	307
48	290	301
49	295	295
50	300	289
51	306	282
52	311	276
53	317	270
54	323	264
55	329	258
56	335	253
57	341	247
58	347	241
59	353	235
60	359	229
61	365	223
62	370	217
63	376	211
64	383	206
65	388	200
66	394	194
67	400	188
68	405	182
69	411	176
70	416	170
71	421	163
72	426	157
73	431	151
74	436	145
75	441	139
76	446	133
77	452	127
78	457	121
79	462	115
80	467	109
81	472	103
82	476	97
83	482	91
84	488	86
85	493	80
86	499	74
87	504	68
88	509	62
89	514	57
90	519	51
91	524	45
92	529	39
93	534	34
94	539	28
95	545	22
96	550	17
97	556	11
98	561	5
99	566	0
